"partido";"userid";"username";"location";"texto";"coordinates"
"Rede45";"2801814928";"Elcio Teixeira";"Cortês, PE Brasil";"maior e melhor renovação política, seria a extinção desse partido tenham vergonha ajudam temer a acabar c";""
"Rede45";"31864044";"Marcio Kleber Torres";"Vila Velha";"écionevesnacadeiajá";""
"Rede45";"152371013";"Alexandre Marques";"Rio de Janeiro";"renovar a política é dar a temer mais apoio em um ano do que ele recebeu de dilma em cinco";""
"Rede45";"1561816194";"Fabio Lima";"São Paulo, Brasil";"aecio tem que estar fora do jogo";""
"Rede45";"151593418";"Ismael Bazilio";"Manaus";"ilegal, torpe, cínica e tenta promover um condenado fala da atuação do psdb pra salvar te";""
"Rede45";"31620787";"TD777";"Brasília DF Brasil";"aakkakakakakakakakaka isso mesmo cocaína";""
"Rede45";"410319755";"Lula2018";"Planeta Terra";"quá quá quá quá chora vagabundo";""
"Rede45";"57531053";"Neli";"São Paulo capital";"concordo";""
"Rede45";"60884715";"DIREITONEWS.COM";"DOURADOS, Mato Grosso do Sul";"cuida de teu partido se preocupa com o teu candidato e deixa o homem falar com povo";""
"Rede45";"322076828";"Jacildo Bezerra";"Boa Vista";"aliados desses ladrões e com ladrões nos seu quadros até o aécio sujo com a propina difícil";""
"Rede45";"457932806";"Francisco Madaus";"Brasília, Brasil";"voto lula escravocratas vão pqp";""
"Rede45";"4277007856";"Almirsfc";"Santo André, Brasil";"bom é promover o retorno escravidão no campo não é mesmo deputado vc acha que ninguém e";""
"Rede45";"1528591454";"O Padeiro Comunista";"Eritrea";"vcs só falam a língua dos empresários mesmo obrigado por estarem mostrando a quem vcs servem";""
"Rede45";"59810903";"Emerson";"São Paulo, Brasil";"desde não souberam perder e afundaram o país na ganância pelo poder bando de cara de pau";""
"Rede45";"475724631";"everaldo martines";"Tupi Paulista SP Brasil";"ouvir falar em renovação e dizer que o aecio vai tentar voltar a presidir o partido é um pouco de incoerência ou cara de pau";""
"Rede45";"201877542";"carlos mendes";"br";"com o aecio presidente do partido";""
"Rede45";"213876172";"Joao Carlos";"Brazil SP";"pode começar desfiliando o seu aecio";""
"Rede45";"137517434";"Fabiano Tenuta";"RJ";"assinem então uma proposta de auto dissolução em consenso de todos os partidos políticos via consulta popul";""
"Rede45";"711572308238999552";"Anna Maria Sanlema";"Recife, Brasil";"chora não bebê";""
"Rede45";"885296427374661632";"Rosa Skarlate";"meu primeiro tweet";"psdb em desespero por cuidado que ai no psdb que não sobra um honest";""
"Rede45";"754348704451137536";"Flavio Fontanelli";"Rio de Janeiro, Brazil";"e o aécio";""
"Rede45";"862793677835563008";"Silva";"São Paulo, Brasil";"as regalias e mordomias entre, políticos e os contribuintes é desigual que tal se preocupar com a corrupç";""
"Rede45";"412506363";"adhemar";"Viçosa, Minas Gerais";"kkkkkkkkkkkkkk";""
"Rede45";"50132320";"Tarcísio Holanda";"Fortaleza, Brazil";"lula já ganhou, e vocês perderam mais uma fora psdb";""
"Rede45";"93830053";"Glaucia Taricano";"Brazil Rio de Janeiro";"isso é um fato";""
"Rede45";"50190686";"Lourival Amorim";"Florianópolis Brazil";"oficial";""
"Rede45";"818263886310805505";"Daniel Bastos";"Goiânia, Brasil";"existe consenso no nome do ilustríssimo senador aécio quem são vcs p falarem de consenso";""
"Rede45";"85684887";"ruth";"brasil";"no caso de reforma política não deveria ser de acordo com quem vota o povo";""
"Rede45";"2379879250";"Jonex Almeida";"Mesquita, Rio de Janeiro";"reforma politica mas é a opinião do cidadão a opinião passa longe dessa reforma";""
"Rede45";"275333921";"HudsonMartins";"United States";"distribuição de pagamento de contas tbm bem vindo ao mundo";""
"Rede45";"810569171608174592";"GERALDO MELO JUNIOR";"Bom Sucesso, Brasil";"parabéns deputado, a agropecuária tem um representante a altura de sua importância";""
"Rede45";"3032405187";"Antonio Carlos";"Sao Paulo, Brazil";"vossa excelência tem meu respeito agora sei que logo minha rua não ficara mais sem luz a cada chuva e raio psdb";""
"PMDB_Nacional";"368414479";"CGBr Mundos Digitais";"Florianópolis, Brasil";"nacional ridícula narrativa acham que alguém ainda cai nessas";""
"PMDB_Nacional";"31864044";"Marcio Kleber Torres";"Vila Velha";"nacional seu pilantra, seus dias estão contados com a justiça ladrão";""
"PMDB_Nacional";"900825421599703041";"Leonardo Uroz";"Belo Horizonte, Brasil";"nacional vergonha esse partido";""
"PMDB_Nacional";"1640633000";"Silana Disperati";"Rio Brilhante";"nacional suruba é suruba";""
"PMDB_Nacional";"830064555992694784";"Jbarros";"Belo Horizonte, Brasil";"nacional e o refis do simples nacional nao teremos, somente os grandes";""
"PMDB_Nacional";"3580183701";"cledison novak";"Sapiranga Brasil";"nacional e so vcs que sao cegos";""
"PMDB_Nacional";"865241542382030850";"Osmar Avelino";"Rio de Janeiro, Brasil";"nacional parece que não";""
"PMDB_Nacional";"801932520342360065";"Val";"São Paulo, Brasil";"nacional na realidade ela mostra que o brasileiro está tentando sobreviver a um governo medíocre e corrupto";""
"PMDB_Nacional";"856864669679714304";"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis san";""
"PMDB_Nacional";"62691593";"Thiago";"São Caetano do Sul, SP";"nacional conta a do papagaio agora";""
"PMDB_Nacional";"860529640175226880";"Mercar@io";"Nova Iorque, USA";"nacional e vai quanto pra quadrilha";""
