"partido";"userid";"username";"location";"texto";"coordinates"
"Rede45";"2801814928";"Elcio Teixeira";"Cortês, PE Brasil";" maior melhor renovação política seria extinção desse partido tenham vergonha ajudam temer acabar";""
"Rede45";"2801814928";"Elcio Teixeira";"Cortês, PE Brasil";" isso uma piada cia jamais foram em favor do povo esses hipócritas sacrificam os";""
"Rede45";"31864044";"Marcio Kleber Torres";"Vila Velha";" vocês podem começar renovação política expulsando corrupto do partido vão fazer renovação";""
"Rede45";"152371013";"Alexandre Marques";"Rio de Janeiro";" renovar política dar temer mais apoio em um ano do que ele recebeu de em cinco";""
"Rede45";"1561816194";"Fabio Lima";"São Paulo, Brasil";" tem que estar fora do jogo";""
"Rede45";"151593418";"Ismael Bazilio";"Manaus";" ilegal torpe cínica tenta promover um condenado fala da atuação do pra salvar te";""
"Rede45";"1561816194";"Fabio Lima";"São Paulo, Brasil";" qual renovação irão fechar";""
"Rede45";"31620787";"TD777";"Brasília DF Brasil";" isso mesmo cocaína";""
"Rede45";"60884715";"DIREITONEWS.COM";"DOURADOS, Mato Grosso do Sul";" cuida de teu partido se preocupa com teu candidato deixa homem falar com povo";""
"Rede45";"222593619";"#DiretasJá";"Brasil";" fora golpistas vão disputar no voto entreguistas não passarão";""
"Rede45";"322076828";"Jacildo Bezerra";"Boa Vista";" aliados desses ladrões com ladrões nos seu quadros até sujo com propina difícil";""
"Rede45";"457932806";"Francisco Madaus";"Brasília, Brasil";" voto lula escravocratas vão";""
"Rede45";"4277007856";"Almirsfc";"Santo André, Brasil";" bom promover retorno escravidão no campo não mesmo deputado acha que ninguém";""
"Rede45";"1528591454";"O Padeiro Comunista";"Eritrea";" só falam língua dos empresários mesmo obrigado por estarem mostrando quem servem";""
"Rede45";"59810903";"Emerson";"São Paulo, Brasil";" desde não souberam perder afundaram país na ganância pelo poder bando de cara de pau";""
"Rede45";"724012157734641664";"Celui";"Brasil";" querem foder com os estão empurrando brasil pro mapa da fome de novo partido de ladrões corruptos na";""
"Rede45";"475724631";"everaldo martines";"Tupi Paulista SP Brasil";" ouvir falar em renovação dizer que vai tentar voltar presidir partido um pouco de incoerência ou cara de pau";""
"Rede45";"201877542";"carlos mendes";"br";" com presidente do partido";""
"Rede45";"213876172";"Joao Carlos";"Brazil SP";" pode começar desfiliando seu";""
"Rede45";"137517434";"Fabiano Tenuta";"RJ";" assinem então uma proposta de auto dissolução em consenso de todos os partidos políticos via consulta";""
"Rede45";"885296427374661632";"Rosa Skarlate";"meu primeiro tweet";" em desespero por cuidado que ai no que não sobra um";""
"Rede45";"1528591454";"O Padeiro Comunista";"Eritrea";" chore ou cheire com seu amigo";""
"Rede45";"724012157734641664";"Celui";"Brasil";" de merda de qual estado comprado com certeza cadê prova contra lu";""
"Rede45";"46689831";"Adriana Figueiredo";"Brasil";" condenados são criminosos cúmplices na destruição do país claro sem";""
"Rede45";"50132320";"Tarcísio Holanda";"Fortaleza, Brazil";" lula já ganhou vocês perderam mais uma fora";""
"Rede45";"93830053";"Glaucia Taricano";"Brazil Rio de Janeiro";" isso um fato";""
"Rede45";"818263886310805505";"Daniel Bastos";"Goiânia, Brasil";" existe consenso no nome do ilustríssimo senador quem são falarem de consenso";""
"Rede45";"2379879250";"Jonex Almeida";"Mesquita, Rio de Janeiro";" reforma politica mas opinião do cidadão opinião passa longe dessa reforma";""
"Rede45";"57531053";"Neli";"São Paulo capital";" culpa das próprias mulheres afinal elas quem criam os homem";""
"Rede45";"275333921";"HudsonMartins";"United States";" distribuição de pagamento de contas bem vindo ao mundo";""
"Rede45";"810569171608174592";"GERALDO MELO JUNIOR";"Bom Sucesso, Brasil";" parabéns deputado agropecuária tem um representante altura de sua importância";""
"Rede45";"3032405187";"Antonio Carlos";"Sao Paulo, Brazil";" vossa excelência tem meu respeito agora sei que logo minha rua não ficara mais sem luz cada chuva raio";""
"PMDB_Nacional";"368414479";"CGBr Mundos Digitais";"Florianópolis, Brasil";" ridícula narrativa acham que alguém ainda cai nessas";""
"PMDB_Nacional";"197996417";"Elizabete";"Brasil";" graças este governo ladrão podre nem parcelar as dívidas os brasileiros honestos estão podendo desgraçados";""
"PMDB_Nacional";"197996417";"Elizabete";"Brasil";" vão tomar no cu vender suas vagabundas que desfrutam do dinheiro público enquanto crianças morrem nos";""
"PMDB_Nacional";"31864044";"Marcio Kleber Torres";"Vila Velha";" seu pilantra seus dias estão contados com justiça ladrão";""
"PMDB_Nacional";"900825421599703041";"Leonardo Uroz";"Belo Horizonte, Brasil";" vergonha esse partido";""
"PMDB_Nacional";"1640633000";"Silana Disperati";"Rio Brilhante";" suruba suruba";""
"PMDB_Nacional";"830064555992694784";"Jbarros";"Belo Horizonte, Brasil";" refis do simples teremos somente os grandes";""
"PMDB_Nacional";"159200133";"Mauri Pereira";"Brasileiro";" precisa também de um sistema de proteção contra desastres administrativos de um governo mafioso";""
"PMDB_Nacional";"3580183701";"cledison novak";"Sapiranga Brasil";" que cegos";""
"PMDB_Nacional";"865241542382030850";"Osmar Avelino";"Rio de Janeiro, Brasil";" parece que não";""
"PMDB_Nacional";"801932520342360065";"Val";"São Paulo, Brasil";" na realidade ela mostra que brasileiro está tentando sobreviver um governo medíocre corrupto";""
"PMDB_Nacional";"856864669679714304";"Fernando Silva";"Belém, Brasil";" são maior organização criminosa do brasil seus bandidos corruptos inúteis";""
"PMDB_Nacional";"856864669679714304";"Fernando Silva";"Belém, Brasil";" são maior organização criminosa do brasil seus bandidos corruptos inúteis sanguessugas do meu";""
"PMDB_Nacional";"4213083424";"mauro";"Brasil";" querem enganar quem";""
"PMDB_Nacional";"4213083424";"mauro";"Brasil";" lúcio vem ai única diferença do para primeiro mais generoso";""
"PMDB_Nacional";"31864044";"Marcio Kleber Torres";"Vila Velha";" do que adianta se vocês estão querendo acabar com por meio de decreto";""
"PMDB_Nacional";"4213083424";"mauro";"Brasil";" ou ágora querendo fazer propaganda de bom menino espero que muitos";""
"PMDB_Nacional";"40493348";"Neusa Teixeira";"Brasil São Paulo";" frase do dia melhor definição de fundo eleitoral fundo eleitoral um dinheiro que será roubado";""
"PMDB_Nacional";"62691593";"Thiago";"São Caetano do Sul, SP";" conta do papagaio agora";""
"PMDB_Nacional";"860529640175226880";"Mercar@io";"Nova Iorque, USA";" vai quanto pra quadrilha";""
"PMDB_Nacional";"379317306";"Alois Andrade";"Ouro Preto do Oeste, Rondônia";" quê ridículo governo do";""
"PMDB_Nacional";"795001869928120320";"Paulo De Cerqueira S";"Salvador, Brasil";" verdades enviesadas como gostamos que nos enganem";""
"PMDB_Nacional";"793840709518241792";"Menina de Oya";"Madureira";" só trouxa para acreditar nessa firula privatizado beneficia povo pelo contrário cambada de ratos";""
"PMDB_Nacional";"272167977";"IVO TORRES";"PRAIA DO CARIPI, BARCARENA";" onde está dinheiro prometido para os ribeirinhos atingidos pelo naufrágio do navio na vila do conde";""
"PMDB_Nacional";"69667589";"Marcio Teixeira";"Cascavel Brasil";" não que acha aliás nem eu";""
"PMDB_Nacional";"878291135155892224";"Ben Silva";"Porto Alegre, Brasil";" que beleza quanta grana pra propina não vai rolar nessa privatização parabéns ao";""
"PMDB_Nacional";"702402689162997760";"Euclides";"Caruaru, Brasil";" milhões de desempregados vocês com cara de pau de dizer que estão trabalhando está";""
"PMDB_Nacional";"819239537977282560";"Luiz Daniel Blasius";"Porto Alegre, Brasil";" haja óleo de peroba vocês não ficam nem vermelhos";""
"PMDB_Nacional";"3247066108";"Cássio Freire";"São Paulo, Brasil";" aumento do combustível";""
"PMDB_Nacional";"710903932202180608";"SUSTENTABILIDADE";"Maranhão, Brasil";" seus apoiadores precisam ser varridos da vida pública";""
"PMDB_Nacional";"710903932202180608";"SUSTENTABILIDADE";"Maranhão, Brasil";" governo do seus apoiadores um escárnio";""
"PMDB_Nacional";"114753257";"Manoel Neto";"Rio de Janeiro";" agora conta uma com papagaio";""
"PMDB_Nacional";"3247061111";"Fernandos123";"São Paulo, Brasil";" privatizar pros compadres faltou asterisco";""
"PMDB_Nacional";"894543942078910464";"André Julião";"Recife, Brasil";" não acredito em papai noel";""
"PMDB_Nacional";"197996417";"Elizabete";"Brasil";" que";""
"PMDB_Nacional";"197996417";"Elizabete";"Brasil";" mas nunca teve tem ou terão culhões para isto vagabundos podres";""
