"abandoned","abandonado"
"abandonment","abandono"
"abandon","abandonar"
"abase","abase"
"abasement","humilhação"
"abash","abash"
"abate","Abate"
"abdicate","abdicar"
"aberration","aberração"
"aberration","aberração"
"abhor","abominar"
"abhor","abominar"
"abhorred","abominava"
"abhorrence","aversão"
"abhorrent","repugnante"
"abhorrently","abhorrently"
"abhors","abomina"
"abhors","abomina"
"abject","abjeta"
"abjectly","abjectly"
"abjure","abjurar"
"abnormal","anormal"
"abolish","abolir"
"abominable","abominável"
"abominably","abominavelmente"
"abominate","abomino"
"abomination","abominação"
"abrade","abradar"
"abrasive","abrasivo"
"abrupt","abrupta"
"abscond","fugir"
"absence","ausência"
"absentee","ausente"
"absent-minded","distraído"
"absurd","absurdo"
"absurdity","absurdo"
"absurdly","absurdamente"
"absurdness","absurdo"
"abuse","abuso"
"abuse","abuso"
"abuse","abuso"
"abuses","abusos"
"abuses","abusos"
"abusive","abusivo"
"abysmal","abismal"
"abysmally","abissalmente"
"abyss","abismo"
"accidental","acidental"
"accost","accost"
"accountable","responsável"
"accursed","maldito"
"accusation","acusação"
"accusation","acusação"
"accusations","acusações"
"accusations","acusações"
"accuse","acusá"
"accuses","acusa"
"accusing","acusando"
"accusingly","accusingly"
"acerbate","exacerbar"
"acerbic","mordaz"
"acerbically","acerbamente"
"ache","ache"
"acrid","acre"
"acridly","acridly"
"acridness","acridness"
"acrimonious","acrimonious"
"acrimoniously","acrimoniously"
"acrimony","acrimônia"
"adamant","inflexível"
"adamantly","inflexivelmente"
"addict","viciado"
"addiction","vício"
"admonish","admoestar"
"admonisher","admoestador"
"admonishingly","admonishingly"
"admonishment","admoestação"
"admonition","admoestação"
"adrift","à deriva"
"adulterate","adulterar"
"adulterated","adulterado"
"adulteration","adulteração"
"adversarial","adversarial"
"adversary","adversário"
"adverse","adverso"
"adversity","adversidade"
"affectation","afetação"
"afflict","afligem"
"affliction","aflição"
"afflictive","aflitivo"
"affront","afronta"
"affront","afronta"
"afraid","medo"
"against","contra"
"aggravate","agravar"
"aggravating","agravante"
"aggravation","agravamento"
"aggression","agressão"
"aggression","agressão"
"aggressive","agressivo"
