"palavra";"sentimento"
"abafa";"neg"
"abafada";"neg"
"abafadas";"neg"
"abafado";"neg"
"abafados";"neg"
"abafai";"neg"
"abafais";"neg"
"abafam";"neg"
"abafamos";"neg"
"abafando";"neg"
"abafar";"neg"
"abafara";"neg"
"abafaram";"neg"
"abafaras";"neg"
"abafardes";"neg"
"abafarei";"neg"
"abafareis";"neg"
"abafarem";"neg"
"abafaremos";"neg"
"abafares";"neg"
"abafaria";"neg"
"abafariam";"neg"
"abafarias";"neg"
"abafarmos";"neg"
"abafará";"neg"
"abafarás";"neg"
"abafarão";"neg"
"abafaríamos";"neg"
"abafaríeis";"neg"
"abafas";"neg"
"abafasse";"neg"
"abafassem";"neg"
"abafasses";"neg"
"abafaste";"neg"
"abafastes";"neg"
"abafava";"neg"
"abafavam";"neg"
"abafavas";"neg"
"abafe";"neg"
"abafei";"neg"
"abafeis";"neg"
"abafem";"neg"
"abafemos";"neg"
"abafes";"neg"
"abafo";"neg"
"abafou";"neg"
"abafáramos";"neg"
"abafáreis";"neg"
"abafásseis";"neg"
"abafássemos";"neg"
"abafávamos";"neg"
"abafáveis";"neg"
"abaixa";"neg"
"abaixada";"neg"
"abaixadas";"neg"
"abaixado";"neg"
"abaixados";"neg"
"abaixai";"neg"
"abaixais";"neg"
"abaixam";"neg"
"abaixamos";"neg"
"abaixando";"neg"
"abaixar";"neg"
"abaixara";"neg"
"abaixaram";"neg"
"abaixaras";"neg"
"abaixardes";"neg"
"abaixarei";"neg"
"abaixareis";"neg"
"abaixarem";"neg"
"abaixaremos";"neg"
"abaixares";"neg"
"abaixaria";"neg"
"abaixariam";"neg"
"abaixarias";"neg"
"abaixarmos";"neg"
"abaixará";"neg"
"abaixarás";"neg"
"abaixarão";"neg"
"abaixaríamos";"neg"
"abaixaríeis";"neg"
"abaixas";"neg"
"abaixasse";"neg"
"abaixassem";"neg"
"abaixasses";"neg"
"abaixaste";"neg"
"abaixastes";"neg"
"abaixava";"neg"
"abaixavam";"neg"
"abaixavas";"neg"
"abaixe";"neg"
"abaixei";"neg"
"abaixeis";"neg"
"abaixem";"neg"
"abaixemos";"neg"
"abaixes";"neg"
"abaixo";"neg"
"abaixou";"neg"
"abaixáramos";"neg"
"abaixáreis";"neg"
"abaixásseis";"neg"
"abaixássemos";"neg"
"abaixávamos";"neg"
"abaixáveis";"neg"
"abala";"neg"
"abalada";"neg"
"abaladas";"neg"
"abalado";"neg"
"abalados";"neg"
"abalai";"neg"
"abalais";"neg"
"abalam";"neg"
"abalamos";"neg"
"abalando";"neg"
"abalar";"neg"
"abalara";"neg"
"abalaram";"neg"
"abalaras";"neg"
"abalardes";"neg"
"abalarei";"neg"
"abalareis";"neg"
"abalarem";"neg"
"abalaremos";"neg"
"abalares";"neg"
"abalaria";"neg"
"abalariam";"neg"
"abalarias";"neg"
"abalarmos";"neg"
"abalará";"neg"
"abalarás";"neg"
"abalarão";"neg"
"abalaríamos";"neg"
"abalaríeis";"neg"
"abalas";"neg"
"abalasse";"neg"
"abalassem";"neg"
"abalasses";"neg"
"abalaste";"neg"
"abalastes";"neg"
"abalava";"neg"
"abalavam";"neg"
"abalavas";"neg"
"abale";"neg"
"abalei";"neg"
"abaleis";"neg"
"abalem";"neg"
"abalemos";"neg"
"abales";"neg"
"abalo";"neg"
"abalou";"neg"
"abaláramos";"neg"
"abaláreis";"neg"
"abalásseis";"neg"
"abalássemos";"neg"
"abalávamos";"neg"
"abaláveis";"neg"
"abandono";"neg"
"abastarda";"neg"
"abastardada";"neg"
"abastardadas";"neg"
"abastardado";"neg"
"abastardados";"neg"
"abastardai";"neg"
"abastardais";"neg"
"abastardam";"neg"
"abastardamos";"neg"
