"location";"formatted_address";"lat";"lng";"lat_lng"
"Cortês, PE Brasil";"Cortês - State of Pernambuco, Brazil";-8.4257032;-35.5329497;"-8.4257032,-35.5329497"
"Vila Velha";"Vila Velha - Ibes, Vila Velha - State of Espírito Santo, Brazil";-20.3477821;-40.2949528;"-20.3477821,-40.2949528"
"Rio de Janeiro";"Rio de Janeiro, State of Rio de Janeiro, Brazil";-22.9068467;-43.1728965;"-22.9068467,-43.1728965"
"São Paulo, Brasil";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Manaus";"Manaus, State of Amazonas, Brazil";-3.1190275;-60.0217314;"-3.1190275,-60.0217314"
"Brasília DF Brasil";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"DOURADOS, Mato Grosso do Sul";"Dourados - State of Mato Grosso do Sul, Brazil";-22.2272034;-54.82912589999999;"-22.2272034,-54.82912589999999"
"Brasília, Brasil";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"Santo André, Brasil";"Santo André, State of São Paulo, Brazil";-23.6742228;-46.5436003;"-23.6742228,-46.5436003"
"Tupi Paulista SP Brasil";"Tupi Paulista, SP, 17930-000, Brazil";-21.3829234;-51.5754829;"-21.3829234,-51.5754829"
"Brazil SP";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Fortaleza, Brazil";"Fortaleza - State of Ceará, Brazil";-3.7319029;-38.5267393;"-3.7319029,-38.5267393"
"Brazil Rio de Janeiro";"Rio de Janeiro, State of Rio de Janeiro, Brazil";-22.9068467;-43.1728965;"-22.9068467,-43.1728965"
"Goiânia, Brasil";"Goiânia - State of Goiás, Brazil";-16.6868824;-49.26478849999999;"-16.6868824,-49.26478849999999"
"Mesquita, Rio de Janeiro";"Mesquita, RJ, Brazil";-22.7819449;-43.4293183;"-22.7819449,-43.4293183"
"São Paulo capital";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Bom Sucesso, Brasil";"Bom Sucesso - MG, 37220-000, Brazil";-21.0350113;-44.7592921;"-21.0350113,-44.7592921"
"Sao Paulo, Brazil";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Florianópolis, Brasil";"Florianópolis - State of Santa Catarina, Brazil";-27.5948698;-48.54821949999999;"-27.5948698,-48.54821949999999"
"Belo Horizonte, Brasil";"Belo Horizonte - State of Minas Gerais, Brazil";-19.9245018;-43.93523760000001;"-19.9245018,-43.93523760000001"
"Rio Brilhante";"Rio Brilhante, MS, 79130-000, Brazil";-21.8047006;-54.5432691;"-21.8047006,-54.5432691"
"Sapiranga Brasil";"Sapiranga - RS, 93800-000, Brazil";-29.6354213;-51.0068073;"-29.6354213,-51.0068073"
"Rio de Janeiro, Brasil";"Rio de Janeiro, State of Rio de Janeiro, Brazil";-22.9068467;-43.1728965;"-22.9068467,-43.1728965"
"Belém, Brasil";"Belém - State of Pará, Brazil";-1.4557794;-48.4901968;"-1.4557794,-48.4901968"
"São Caetano do Sul, SP";"São Caetano do Sul, State of São Paulo, Brazil";-23.6233625;-46.5552433;"-23.6233625,-46.5552433"
"Ouro Preto do Oeste, Rondônia";"Ouro Preto do Oeste - State of Rondônia, 76920-000, Brazil";-10.6008331;-62.3095833;"-10.6008331,-62.3095833"
"Salvador, Brasil";"Salvador - State of Bahia, Brazil";-12.9722184;-38.5014136;"-12.9722184,-38.5014136"
"Madureira";"Madureira, Rio de Janeiro - State of Rio de Janeiro, Brazil";-22.8725334;-43.33636389999999;"-22.8725334,-43.33636389999999"
"PRAIA DO CARIPI, BARCARENA";"Caripi, Barcarena - PA, 68445-000, Brazil";-1.4915957;-48.7061064;"-1.4915957,-48.7061064"
"Cascavel Brasil";"Cascavel - Aroeira, Cascavel - PR, Brazil";-24.9577771;-53.45951119999999;"-24.9577771,-53.45951119999999"
"Porto Alegre, Brasil";"Porto Alegre - RS, Brazil";-30.0346564;-51.2176584;"-30.0346564,-51.2176584"
"Caruaru, Brasil";"Caruaru - Picada, Caruaru - PE, Brazil";-8.2849639;-35.9701874;"-8.2849639,-35.9701874"
"Maranhão, Brasil";"State of Maranhão, Brazil";-4.9609498;-45.2744159;"-4.9609498,-45.2744159"
"Recife, Brasil";"Recife - State of Pernambuco, Brazil";-8.0475622;-34.8769643;"-8.0475622,-34.8769643"
"aguas claras brasilia df";"Águas Claras, Brasília - DF, 70297-400, Brazil";-15.8372013;-48.0258046;"-15.8372013,-48.0258046"
"Paraty, Brasil";"Paraty - State of Rio de Janeiro, 23970-000, Brazil";-23.2200542;-44.7204757;"-23.2200542,-44.7204757"
"Recife";"Recife - State of Pernambuco, Brazil";-8.0475622;-34.8769643;"-8.0475622,-34.8769643"
"Tocantins, Brasil";"State of Tocantins, Brazil";-10.17528;-48.2982474;"-10.17528,-48.2982474"
