"partido";"userid";"username";"location";"texto";"coordinates";"formatted_address";"lat";"lng";"lat_lng"
"Rede45";"810569171608174592";"GERALDO MELO JUNIOR";"Bom Sucesso, Brasil";"parabéns deputado, a agropecuária tem um representante a altura de sua importância";"";"Bom Sucesso - MG, 37220-000, Brazil";-21.0350113;-44.7592921;"-21.0350113,-44.7592921"
"Rede45";"3032405187";"Antonio Carlos";"Sao Paulo, Brazil";"vossa excelência tem meu respeito agora sei que logo minha rua não ficara mais sem luz a cada chuva e raio psdb";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Rede45";"754348704451137536";"Flavio Fontanelli";"Rio de Janeiro, Brazil";"com o aécio";"";"Rio de Janeiro, State of Rio de Janeiro, Brazil";-22.9068467;-43.1728965;"-22.9068467,-43.1728965"
"Rede45";"56865449";"Chris Moraes";"Vitória, Brasil";"o tempo é o senhor da razão e agora dilma samba na cara do denunciado n vezes aécio neves o mundo dá volta";"";"Vitoria, Vitória - State of Espírito Santo, Brazil";-20.2976178;-40.2957768;"-20.2976178,-40.2957768"
"Rede45";"379405084";"Renato Sales";"Macapá ";"investigações da lava jato flagraram o presidente do psdb aécio neves pedindo propina e aí";"";"Macapá, AP, Brazil";0.0355735;-51.070535;"0.0355735,-51.070535"
"Rede45";"103356974";"Vinicius Henrique";"brazil";"com vá na segurança ãoarrisquem";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"724012157734641664";"Celui";"Brasil";"não seria melhor medidas pra caçar aécio corruptos e ladrões da casa";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"160552502";"alfredo adao";"BRASIL";"não tenho duvida, mas que sejam feitas para acabar com a corrupção, tudo que se deixa brecha";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"160552502";"alfredo adao";"BRASIL";"não é isso que estamos vendo, e sim um partido aliado aos corruptos e tentando enganar o povo igual os dema";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"2654941594";"Dani Dias";"Santo André, São Paulo";"a grande culpa do pt foi de se aliar a part como o pmdb, q armou o bote como cobra peçonhenta o próx a";"";"Santo André, State of São Paulo, Brazil";-23.6742228;-46.5436003;"-23.6742228,-46.5436003"
"Rede45";"751197850529304576";"jocacarlos";"São Mateus, Brasil";"creio que também é tão grave como um dublê de partido abriga algumas figuras nacionais que estão numa lis";"";"São Mateus - State of Espírito Santo, Brazil";-18.7190705;-39.856734;"-18.7190705,-39.856734"
"Rede45";"751197850529304576";"jocacarlos";"São Mateus, Brasil";"mesmo e a renda vindo através de propinas recebidas por alguns integrantes de um certo dublê de partido,";"";"São Mateus - State of Espírito Santo, Brazil";-18.7190705;-39.856734;"-18.7190705,-39.856734"
"Rede45";"2379879250";"Jonex Almeida";"Mesquita, Rio de Janeiro";"construção se passa pela qualidade etica do seu legislativo fora isso nao passa de bláblá para as ameb";"";"Mesquita, RJ, Brazil";-22.7819449;-43.4293183;"-22.7819449,-43.4293183"
"Rede45";"315301774";"pedrinho fonseca";"Sao Paulo, Brazil";"ata";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Rede45";"325109785";"Ana Maria Sanches";" Brasil";"nacional oficial nacional";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"968390030";"Darley Assis";"Brasília-DF";"psdb a charge tinha que ser do aecio sendo expulso do partido ;";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"Rede45";"446222055";"Sérgio Santos";"Bahia, Brasil";"então partido de cornos, vcs vão falar da inocência da dilma ou vão fazer a linha kátia";"";"State of Bahia, Brazil";-12.579738;-41.7007272;"-12.579738,-41.7007272"
"Rede45";"47281168";"jaime";"Brasil";"vagabundos se não tem renda é graças ao apoio desse partideco a temer só vivem de mentiras, por isso perd";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"40493348";"Neusa Teixeira";"Brasil - São Paulo";"frase do dia melhor definição de fundo eleitoral fundo eleitoral é um dinheiro que será roubado de vc pr";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"Rede45";"4867434249";"Geziel Goes";"Belém, Brasil";"a vaidade e irresponsabilidade do presidente licenciado de vcs foram seus piores venenos";"";"Belém - State of Pará, Brazil";-1.4557794;-48.4901968;"-1.4557794,-48.4901968"
"Rede45";"878958128104124416";"♥ ♥ Patriota ♥ ♥";"Brasil";"senador aécio tem amor pela nossa bandeira paixão pelo brasil grande e respeitado politico";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"390369171";"Olhar Geográfico";"Brazil";"";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"Rede45";"540039632";"paulo inacio da cunh";"Itanhangá, Rio de Janeiro";"antipt o partido não fala nada do governo temer vcs deram o golpe nos trabalhadores há vale lembra que";"";"Itanhangá, Rio de Janeiro - State of Rio de Janeiro, Brazil";-22.986725;-43.30550030000001;"-22.986725,-43.30550030000001"
"PMDB_Nacional";"159200133";"Mauri Pereira";"Brasileiro";"nacional precisa também de um sistema de proteção contra desastres administrativos de um governo mafioso";"";"10925 Venice Blvd, Los Angeles, CA 90034, USA";34.0157792;-118.4129081;"34.0157792,-118.4129081"
"PMDB_Nacional";"3580183701";"cledison novak";"Sapiranga Brasil";"nacional e so vcs que sao cegos";"";"Sapiranga, RS, Brazil";-29.6353852;-51.0069543;"-29.6353852,-51.0069543"
"PMDB_Nacional";"1944756901";"Claudio Gomes";"Brasília";"nacional oficial pq";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"PMDB_Nacional";"1944756901";"Claudio Gomes";"Brasília";"nacional oficial pq";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"PMDB_Nacional";"1944756901";"Claudio Gomes";"Brasília";"nacional oficial pq";"";"Brasilia - Federal District, Brazil";-15.7941569;-47.8825289;"-15.7941569,-47.8825289"
"PMDB_Nacional";"865241542382030850";"Osmar Avelino";"Rio de Janeiro, Brasil";"nacional parece que não";"";"Rio de Janeiro, State of Rio de Janeiro, Brazil";-22.9068467;-43.1728965;"-22.9068467,-43.1728965"
"PMDB_Nacional";"801932520342360065";"Val";"São Paulo, Brasil";"nacional na realidade ela mostra que o brasileiro está tentando sobreviver a um governo medíocre e corrupto";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"PMDB_Nacional";"856864669679714304";"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis sanguessugas do meu dinheiro vão sumir";"";"Belém - State of Pará, Brazil";-1.4557794;-48.4901968;"-1.4557794,-48.4901968"
"PMDB_Nacional";"856864669679714304";"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis san";"";"Belém - State of Pará, Brazil";-1.4557794;-48.4901968;"-1.4557794,-48.4901968"
"PMDB_Nacional";"856864669679714304";"Fernando Silva";"Belém, Brasil";"nacional vcs são a maior organização criminosa do brasil seus bandidos, corruptos inúteis sanguessugas do meu";"";"Belém - State of Pará, Brazil";-1.4557794;-48.4901968;"-1.4557794,-48.4901968"
"PMDB_Nacional";"4213083424";"mauro";"Brasil";"nacional querem enganar quem;";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"PMDB_Nacional";"4213083424";"mauro";"Brasil";"nacional lúcio funaroo vem ai,a única diferença do pmdb para pt ;o primeiro e mais generoso n";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"PMDB_Nacional";"31864044";"Marcio Kleber Torres";"Vila Velha ";"nacional do que adianta, se vocês estão querendo acabar com a ônia por meio de decreto";"";"Vila Velha - Ibes, Vila Velha - State of Espírito Santo, Brazil";-20.3477821;-40.2949528;"-20.3477821,-40.2949528"
"PMDB_Nacional";"4213083424";"mauro";"Brasil";"nacional pmdb ou mdb ágora querendo fazer propaganda de bom menino espero que muitos parlamen";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"PMDB_Nacional";"40493348";"Neusa Teixeira";"Brasil - São Paulo";"nacional frase do dia melhor definição de fundo eleitoral fundo eleitoral é um dinheiro que será roubado d";"";"São Paulo, State of São Paulo, Brazil";-23.5505199;-46.63330939999999;"-23.5505199,-46.63330939999999"
"ptbrasil";"17041750";"Eugenio Lumertz";"Porto Alegre, Brasil";"pt chama matemático oswald de souza para calcular as chances de improbabilidade administrativa de michel temer";"";"Porto Alegre - RS, Brazil";-30.0346564;-51.2176584;"-30.0346564,-51.2176584"
"ptbrasil";"4202225063";"Juliobassetto";"Brasil";"sem probabilidade nenhuma de ser acatado";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"902538531872153600";"Dieter";"Rio Grande do Sul, Brasil";"improbalilidade é encontrar petista que saiba escrever e falar corretamente";"";"State of Rio Grande do Sul, Brazil";-30.0346316;-51.2176986;"-30.0346316,-51.2176986"
"ptbrasil";"819880500806422528";"The West Remembers";"Brazil";"improbabilidade administrativa é quando você achava que o vice nunca iria assumir a presidência mas aconteceu";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
"ptbrasil";"354311932";"Ailton";"Recife_PE";"alma sebosa de toga";"";"Recife - State of Pernambuco, Brazil";-8.0475622;-34.8769643;"-8.0475622,-34.8769643"
"ptbrasil";"882778188769894400";"Gabriel";"Florianópolis, Brasil";"lula só não sabia disto, né";"";"Florianópolis - State of Santa Catarina, Brazil";-27.5948698;-48.54821949999999;"-27.5948698,-48.54821949999999"
"ptbrasil";"109063281";"MARCOS DANIEL";"Abreu e Lima, PE";"de que povo cês tão falando";"";"Abreu e Lima - State of Pernambuco, Brazil";-7.901149299999999;-34.8987086;"-7.901149299999999,-34.8987086"
"ptbrasil";"818465341";"heliana";"Traçadal - MG";"me pergunto porque ele foi preso e não o senhor que roubou descaradamente";"";"Traçadal, Eng. Navarro - MG, 39417-000, Brazil";-17.3533668;-44.07235800000001;"-17.3533668,-44.07235800000001"
"ptbrasil";"818465341";"heliana";"Traçadal - MG";"moro, profissional admirável ao contrário de você grande larápio";"";"Traçadal, Eng. Navarro - MG, 39417-000, Brazil";-17.3533668;-44.07235800000001;"-17.3533668,-44.07235800000001"
"ptbrasil";"882778188769894400";"Gabriel";"Florianópolis, Brasil";"será ele fez tanto veja a pequena fortuna que ele recuperou, fruto dos desvios do governo pt olha dime";"";"Florianópolis - State of Santa Catarina, Brazil";-27.5948698;-48.54821949999999;"-27.5948698,-48.54821949999999"
"ptbrasil";"443923846";"Marcos Adriano";"Trocadero";"não adianta nem o maldade desistam e dissolvam essa organização criminosa via br";"";"1003 Arch St, Philadelphia, PA 19107, USA";39.953835;-75.15645339999999;"39.953835,-75.15645339999999"
"ptbrasil";"777954707935461376";"Ladrão pelo Brasil";"Brasil";"kkkkk vai defender da cadeia vagabundo, vai ser mulherzinha na cela, vão te trocar por";"";"Brazil";-14.235004;-51.92528;"-14.235004,-51.92528"
