partido;userid;username;location;texto;coordinates
"Rede45";2801814928;"Elcio Teixeira";"Cortês, PE Brasil";"maior e melhor renovação política, seria a extinção desse partido tenham vergonha ajudam temer a acabar c";
"Rede45";2801814928;"Elcio Teixeira";"Cortês, PE Brasil";"isso é uma piada psdb, dem, pp, pps e cia, jamais foram em favor do povo esses hipócritas sacrificam os p";
"Rede45";31864044;"Marcio Kleber Torres";"Vila Velha";"écionevesnacadeiajá";
"Rede45";31864044;"Marcio Kleber Torres";"Vila Velha";"vocês podem começar a renovação política, expulsando o corrupto do partido, vão fazer a renovação écionacadeiajá";
"Rede45";152371013;"Alexandre Marques";"Rio de Janeiro";"renovar a política é dar a temer mais apoio em um ano do que ele recebeu de dilma em cinco";
"Rede45";279547892;"AnaLeão";"Rio de Janeiro, Brasil";"";
"Rede45";279547892;"AnaLeão";"Rio de Janeiro, Brasil";"";
"Rede45";1561816194;"Fabio Lima";"São Paulo, Brasil";"aecio tem que estar fora do jogo";
"Rede45";1561816194;"Fabio Lima";"São Paulo, Brasil";"o aecio deveria estar fora do partido foi pego pedindo dinheiro ao um empresário investigado isso é inadm";
"Rede45";151593418;"Ismael Bazilio";"Manaus";"ilegal, torpe, cínica e tenta promover um condenado fala da atuação do psdb pra salvar te";
"Rede45";1561816194;"Fabio Lima";"São Paulo, Brasil";"o que vcs tanto criticaram acabaram fazendo até pior escândalos atras de escândalos renovação só se for sem vcs";
"Rede45";1561816194;"Fabio Lima";"São Paulo, Brasil";"qual renovação vcs irão fechar o psdb";
"Rede45";31620787;"TD777";"Brasília DF Brasil";"aakkakakakakakakakaka isso mesmo cocaína";
"Rede45";410319755;"Lula2018";"Planeta Terra";"quá quá quá quá chora vagabundo";
"Rede45";57531053;"Neli";"São Paulo capital";"concordo";
"Rede45";60884715;"DIREITONEWS.COM";"DOURADOS, Mato Grosso do Sul";"cuida de teu partido se preocupa com o teu candidato e deixa o homem falar com povo";
"Rede45";222593619;"#DiretasJá";"Brasil";"fora golpistas vão disputar no voto entreguistas não passarão";
"Rede45";322076828;"Jacildo Bezerra";"Boa Vista";"aliados desses ladrões e com ladrões nos seu quadros até o aécio sujo com a propina difícil";
"Rede45";486242620;"Paulo Henrique";"Brasil";"a começar por vocês né tirando dois ladrões, e , né bando de ladrão";
"Rede45";457932806;"Francisco Madaus";"Brasília, Brasil";"voto lula escravocratas vão pqp";
"Rede45";4277007856;"Almirsfc";"Santo André, Brasil";"bom é promover o retorno escravidão no campo não é mesmo deputado vc acha que ninguém e";
"Rede45";1528591454;"O Padeiro Comunista";"Eritrea";"vcs só falam a língua dos empresários mesmo obrigado por estarem mostrando a quem vcs servem";
"Rede45";59810903;"Emerson";"São Paulo, Brasil";"desde não souberam perder e afundaram o país na ganância pelo poder bando de cara de pau";
"Rede45";875122453877600257;"Eureka";"Maranhão";"";
"Rede45";875122453877600257;"Eureka";"Maranhão";"";
"Rede45";23292611;"SérgioBSB";"Brasilia DF";"e vcs que promovem o kkkkkdeixa de mimimimi";
"Rede45";1528591454;"O Padeiro Comunista";"Eritrea";"vergonhoso";
"Rede45";724012157734641664;"Celui";"Brasil";"vcs querem é foder com os estão empurrando o brasil pro mapa da fome de novo partido de ladrões corruptos aécio na cabeca";
"Rede45";31620787;"TD777";"Brasília DF Brasil";"vtnc";
"Rede45";475724631;"everaldo martines";"Tupi Paulista SP Brasil";"ouvir falar em renovação e dizer que o aecio vai tentar voltar a presidir o partido é um pouco de incoerência ou cara de pau";
"Rede45";201877542;"carlos mendes";"br";"com o aecio presidente do partido";
"Rede45";213876172;"Joao Carlos";"Brazil SP";"pode começar desfiliando o seu aecio";
"Rede45";137517434;"Fabiano Tenuta";"RJ";"assinem então uma proposta de auto dissolução em consenso de todos os partidos políticos via consulta popul";
"Rede45";711572308238999552;"Anna Maria Sanlema";"Recife, Brasil";"chora não bebê";
"Rede45";885296427374661632;"Rosa Skarlate";"meu primeiro tweet";"psdb em desespero por cuidado que ai no psdb que não sobra um honest";
"Rede45";754348704451137536;"Flavio Fontanelli";"Rio de Janeiro, Brazil";"e o aécio";
"Rede45";1528591454;"O Padeiro Comunista";"Eritrea";"chore ou cheire com seu amigo aécio";
"Rede45";724012157734641664;"Celui";"Brasil";"deputadozinho de merda é de qual estado comprado vc é com certeza cadê prova contra lu";
"Rede45";724012157734641664;"Celui";"Brasil";"e vc é o que o que recebe pra votar a favor do fake e o corrupto";
"Rede45";862793677835563008;"Silva";"São Paulo, Brasil";"as regalias e mordomias entre, políticos e os contribuintes é desigual que tal se preocupar com a corrupç";
"Rede45";46689831;"Adriana Figueiredo";"Brasil";"condenados são psdbostas, criminosos, cúmplices na destruição do país claro q sem conden";
"Rede45";412506363;"adhemar";"Viçosa, Minas Gerais";"kkkkkkkkkkkkkk";
"Rede45";819686551789727749;"CAROLINA SAPORI";"Brasil";"tá com ciúme";
"Rede45";50132320;"Tarcísio Holanda";"Fortaleza, Brazil";"lula já ganhou, e vocês perderam mais uma fora psdb";
"Rede45";93830053;"Glaucia Taricano";"Brazil Rio de Janeiro";"isso é um fato";
"Rede45";50190686;"Lourival Amorim";"Florianópolis Brazil";"oficial";
"Rede45";818263886310805505;"Daniel Bastos";"Goiânia, Brasil";"existe consenso no nome do ilustríssimo senador aécio quem são vcs p falarem de consenso";
